"Country","Country_class","Year","AMR","Region_Level1","Region_class","Strategic_vision","Multi_sector_engagement","Sustainability","Accountability","AMC_surveillance_system","AMR_surveillance_system","Optimization_antimicrobial","Professional_education","Public_awareness","Hygiene_prevention","Research_innovation","Reporting","Policy_adjustment","Effectiveness","AMC_human","GDP_per_capita","CHE_per_capita","People_using_at_least_basic_drinking_water_services","Population_density","Government_Effectiveness"
11,70,2017,6.311451784,"European Region",3,68.98584906,40.18948655,30.53977273,100,77.59795571,47.07820738,65.50131926,100,27.96208531,40.86182994,78.97033159,59.36794582,53.60902256,62.69533245,42.6,18631.99301,1509.784546,99.99999797,83.43428239,0.239155456
11,70,2018,6.813388204,"European Region",3,79.22051887,40.18948655,31.98863636,100,77.59795571,47.07820738,73.87862797,100,20.97156398,40.86182994,78.97033159,79.68397291,53.60902256,62.69533245,45.9,19873.40152,1603.077881,99.99999996,83.26518231,0.258464664
11,70,2019,9.368944994,"European Region",3,79.22051887,100,31.98863636,100,77.59795571,47.07820738,73.87862797,100,20.97156398,66.01469501,100,79.68397291,53.60902256,64.16198062,45.9,19335.3602,1569.029053,99.9999993,83.17751746,0.314295799
11,70,2020,10.77539669,"European Region",3,79.22051887,100,62.38636364,100,77.59795571,45.73813708,73.87862797,83.02139037,20.97156398,44.38539741,100,79.68397291,53.60902256,62.69533245,45.9,17886.73317,1675.117065,100,82.99921645,0.402936995
11,70,2021,12.18159434,"European Region",3,89.76533019,100,31.98863636,100,77.59795571,26.9112478,72.62532982,83.02139037,34.47867299,42.31719039,100,79.68397291,0,62.69533245,45.9,20654.7002,1845.775635,99.99999523,81.99539953,0.406026542
12,79,2017,6.66788521,"South-East Asia Region",0,89.76533019,83.92420538,69.34659091,100,0,29.56942004,40.27387863,66.97860963,22.98578199,29.81774492,100,50,13.4962406,20.47965608,14,1950.104683,57,90.38318358,457.3059239,0.041096631
12,79,2018,7.529415937,"South-East Asia Region",0,89.76533019,83.92420538,99.74431818,100,6.942078365,29.56942004,40.27387863,66.97860963,22.98578199,25.52014787,100,79.68397291,13.4962406,20.47965608,14.2,1966.254552,58,90.97467558,462.3515699,0.262917787
12,79,2019,8.936305233,"South-East Asia Region",0,89.76533019,83.92420538,99.74431818,100,6.942078365,34.97363796,48.65118734,50,22.98578199,52.07948244,100,79.68397291,13.4962406,15.55933502,14.53190008,2041.428637,61,91.56222114,467.1851822,0.130771831
12,79,2020,9.12320175,"South-East Asia Region",0,89.76533019,83.92420538,99.74431818,100,6.942078365,32.29349736,48.65118734,66.97860963,22.98578199,21.81737523,100,79.68397291,40.11278195,18.93209725,14.96290507,1907.042516,64,92.14560477,471.7551502,0.374532461
12,79,2021,11.92972638,"South-East Asia Region",0,89.76533019,83.92420538,62.64204545,100,51.74616695,32.29349736,33.14986807,50,31.99052133,12.21146026,100,79.68397291,40.11278195,16.11101382,15.39391006,2239.613844,74,92.72465388,475.6520424,0.249238417
13,113,2017,0.132329605,"European Region",3,62.12146226,40.18948655,31.73295455,100,34.36967632,26.84534271,16.75461741,41.04278075,29.97630332,78.55822551,42.05933682,50,53.60902256,35.20115444,23.9,5955.297386,345,97.6144574,75.28378271,-0.01766151
13,113,2018,0.355212729,"European Region",3,62.12146226,48.22738386,31.73295455,100,34.36967632,40.37785589,25.13192612,58.02139037,22.98578199,78.55822551,42.05933682,50,53.60902256,35.20115444,24.5,6713.989254,387,97.66967302,74.90289453,0.055729192
13,113,2019,0.648245892,"European Region",3,72.66627358,48.22738386,69.34659091,100,34.36967632,40.37785589,25.13192612,58.02139037,13.98104265,51.57384473,42.05933682,50,53.60902256,34.10031362,25.05680544,6718.858266,421,97.72562379,74.39579699,-0.124041438
13,113,2020,1.455475675,"European Region",3,72.66627358,48.22738386,99.74431818,100,34.36967632,43.05799649,25.13192612,58.02139037,27.96208531,13.96719039,42.05933682,50,53.60902256,44.77917354,25.53112543,6659.596511,453,97.782442,73.59730373,0.02825786
13,113,2021,2.244479488,"European Region",3,72.66627358,48.22738386,62.38636364,100,56.77172061,26.9112478,21.37203166,58.02139037,63.98104265,13.36672828,42.05933682,50,53.60902256,46.0997473,26.00544542,7620.80297,560,97.84027221,72.84353688,-0.121813729
14,137,2017,3.908014649,"Western Pacific Region",1,89.76533019,50,99.48863636,100,41.31175468,36.31370826,47.62532982,33.02139037,47.98578199,17.88354898,42.05933682,79.68397291,53.60902256,44.45178643,5.1,3038.12125,122,92.80785571,362.6109032,-0.034911115
14,137,2018,5.028431003,"Western Pacific Region",1,100,58.03789731,99.48863636,100,55.19591141,38.99384886,47.62532982,41.04278075,47.98578199,23.63650647,42.05933682,79.68397291,53.60902256,52.53166354,5,3168.510366,126,93.22283512,367.1237448,0.062349122
14,137,2019,5.505099717,"Western Pacific Region",1,100,100,69.09090909,100,34.36967632,28.2513181,47.62532982,41.04278075,20.97156398,20.80665434,42.05933682,79.68397291,53.60902256,46.47175571,5.02920351,3400.789498,142,93.63735675,371.6157997,0.059953012
14,137,2020,6.554908871,"Western Pacific Region",1,89.76533019,100,69.34659091,100,6.942078365,32.24956063,39.24802111,58.02139037,34.47867299,19.43160813,42.05933682,79.68397291,53.60902256,43.87958981,4.982595212,3227.579102,166,94.05123275,375.8971862,0.067812383
14,137,2021,6.755724915,"Western Pacific Region",1,100,100,99.74431818,100,13.88415673,43.05799649,56.00263852,75,34.47867299,19.43160813,42.05933682,79.68397291,53.60902256,51.4544746,4.986844825,3484.385939,203,94.46428059,379.3170004,0.034790132
15,142,2017,5.435135696,"European Region",3,10.23466981,32.15158924,32.10227273,0,55.19591141,48.39630931,69.81319261,58.02139037,45.97156398,68.66885397,57.94066318,59.36794582,53.60902256,63.55890482,18.6,21442.38428,1998,99.1981686,112.4418158,1.294049144
15,142,2018,9.098700292,"European Region",3,10.23466981,32.15158924,32.10227273,0,55.19591141,53.77855888,69.81319261,58.02139037,45.97156398,72.96645102,57.94066318,59.36794582,53.60902256,66.58885874,19.4,23541.14011,2216,99.20827956,112.261936,1.181151748
15,142,2019,15.76339243,"European Region",3,45.02240566,100,47.37215909,51.05328377,100,53.77855888,69.81319261,58.02139037,63.98104265,73.74048059,100,59.36794582,53.60902256,73.83540252,19.4,23343.3629,2222,99.21959411,112.2885828,1.134185791
15,142,2020,18.08815376,"European Region",3,45.02240566,91.96210269,47.11647727,51.05328377,100,51.09841828,71.50395778,50,34.47867299,45.93345656,100,59.36794582,53.60902256,61.41845073,19.4,22299.40441,2346,99.23206739,112.406676,0.979601145
15,142,2021,18.9417267,"European Region",3,55.56721698,91.96210269,47.37215909,51.05328377,100,51.09841828,76.25329815,58.02139037,34.47867299,44.38539741,100,59.36794582,53.60902256,71.67359168,19.4,24711.45101,2747,99.24568371,113.1135105,0.952431321
16,187,2017,-5.405186399,"Western Pacific Region",1,89.76533019,24.11369193,53.56534091,100,6.942078365,20.23286467,40.50131926,25,13.98104265,30.1181146,42.05933682,59.36794582,59.88721805,11.87067048,28.9,2956.109921,149.3087921,94.12940815,303.6887873,-0.033340786
16,187,2018,-4.701576395,"Western Pacific Region",1,89.76533019,24.11369193,53.56534091,100,34.36967632,22.91300527,40.50131926,8.021390374,13.98104265,19.21238447,100,29.68397291,59.88721805,10.73108371,30,3222.310031,164.236496,95.16878487,307.0466326,-0.011720616
16,187,2019,-2.273152731,"Western Pacific Region",1,89.76533019,24.11369193,84.47443182,100,79.17376491,22.91300527,40.50131926,25,25,27.80757856,100,29.68397291,86.5037594,14.94767357,31.1,3440.900254,173.6494904,95.98905365,310.0344129,0.027881082
16,187,2020,-1.523407306,"Western Pacific Region",1,89.76533019,24.11369193,53.82102273,100,86.11584327,33.63356766,40.50131926,25,15.99526066,29.34408503,42.05933682,29.68397291,86.5037594,20.3038502,32.2,3534.039535,154.2351074,96.66702247,312.9231533,0.193557769
16,187,2021,-0.835257542,"Western Pacific Region",1,89.76533019,24.11369193,53.82102273,100,86.11584327,33.63356766,40.50131926,25,15.99526066,12.98548983,100,50,86.5037594,18.59447005,33.3,3704.193559,172.5529785,97.31751338,315.6539376,0.243436113
17,191,2017,4.934109195,"African Region",4,72.66627358,82.15158924,84.47443182,75.52664188,41.31175468,13.44463972,45.25065963,50,6.990521327,9.461922366,100,79.68397291,26.61654135,5.07127994,17.3,6618.335083,536.7772217,92.60968252,47.51103545,0.070795923
17,191,2018,3.319415758,"African Region",4,72.66627358,74.11369193,83.96306818,75.52664188,41.31175468,16.14674868,45.25065963,50,34.47867299,44.2207024,100,79.68397291,26.61654135,15.92391169,17.9,6914.178032,570.0977783,93.00329093,48.31710838,0.103647441
17,191,2019,2.259546882,"African Region",4,62.12146226,74.11369193,46.86079545,75.52664188,41.31175468,25.54920914,33.71926121,50,34.47867299,44.2207024,100,79.68397291,26.61654135,16.3571951,18.35,6533.71121,551.4352417,93.38824369,49.12074537,0.127971157
17,191,2020,3.055401525,"African Region",4,82.9009434,82.15158924,53.82102273,75.52664188,41.31175468,13.42267135,38.12664908,41.97860963,11.492891,15.81534196,100,79.68397291,26.61654135,18.95760867,18.8,5580.603831,492.2072449,93.76479029,49.92406252,0.046534523
17,191,2021,3.830747768,"African Region",4,72.66627358,58.03789731,46.60511364,75.52664188,56.77172061,18.84885764,31.00263852,50,6.990521327,11.00998152,100,79.68397291,26.61654135,19.81229874,19.25,6843.399419,583.6710815,94.13269971,50.6991262,-0.070130371
