"Country_class","ISO3","Country","Year","AMR","traj_class","WHO_Region","Income","Strategic_vision","Multi_sector_engagement","Sustainability","Accountability","AMC_surveillance_system","AMR_surveillance_system","Optimization_antimicrobial","Professional_education","Public_awareness","Hygiene_prevention","Research_innovation","Reporting","Policy_adjustment","Effectiveness"
12,380,380,2018,3.16393818,3,"African Region","L",10.23466981,8.037897311,31.84659091,0,0,8.040421793,16.9646438,33.02139037,20.97156398,44.50924214,0,0,0,11.52736753
12,380,380,2019,3.191167507,3,"African Region","L",10.23466981,8.037897311,31.84659091,0,0,8.040421793,16.9646438,33.02139037,20.97156398,60.86783734,0,0,0,13.23674769
12,380,380,2020,3.199000945,3,"African Region","L",72.66627358,75.88630807,84.47443182,100,44.80408859,10.74253076,26.25329815,25,15.99526066,17.90665434,42.05933682,50,0,5.925970019
12,380,380,2021,3.300072622,3,"African Region","L",82.9009434,75.88630807,84.73011364,100,72.23168654,17.50878735,26.25329815,33.02139037,31.99052133,29.72532348,42.05933682,50,0,10.71235327
13,156,156,2017,1.928762824,3,"European Region","H",89.76533019,41.96210269,69.09090909,100,100,97.3198594,65.50131926,75,54.97630332,45.15942699,100,59.36794582,50.18796992,84.45800526
13,156,156,2018,2.514651825,3,"European Region","H",79.22051887,41.96210269,31.98863636,100,100,100,73.87862797,75,47.98578199,45.15942699,100,59.36794582,50.18796992,84.45800526
13,156,156,2019,4.175544346,3,"European Region","H",79.22051887,58.03789731,32.24431818,100,100,100,73.87862797,75,47.98578199,45.93345656,100,59.36794582,76.80451128,84.45800526
13,156,156,2020,4.294886387,3,"European Region","H",79.22051887,100,32.24431818,100,100,100,73.87862797,91.97860963,31.99052133,45.93345656,100,100,76.80451128,67.28826639
13,156,156,2021,4.839507989,3,"European Region","H",100,100,69.60227273,100,100,74.20913884,84.74511873,91.97860963,31.99052133,45.93345656,100,100,76.80451128,66.84398068
18,229,229,2017,1.201083719,3,"Eastern Mediterranean Region","H",0,0,0.9375,0,41.31175468,14.74077329,23.74670185,24.06417112,13.98104265,30.79944547,0,50,26.61654135,12.06843081
18,229,229,2018,1.33965478,3,"Eastern Mediterranean Region","H",31.01415094,32.15158924,38.55113636,0,48.25383305,14.74077329,30.8707124,32.0855615,63.98104265,17.13262477,0,50,26.61654135,30.31535862
18,229,229,2019,2.126882981,3,"Eastern Mediterranean Region","H",65.80188679,75.88630807,69.60227273,100,51.74616695,26.80140598,23.74670185,32.0855615,34.47867299,24.09889094,42.05933682,79.68397291,26.61654135,27.3948517
18,229,229,2020,2.892471572,3,"Eastern Mediterranean Region","H",45.02240566,91.96210269,31.98863636,100,79.17376491,10.72056239,40.50131926,33.02139037,47.98578199,27.10231054,42.05933682,79.68397291,26.61654135,30.08879644
18,229,229,2021,3.849374053,3,"Eastern Mediterranean Region","H",55.56721698,75.88630807,31.73295455,100,6.942078365,8.040421793,29.74934037,24.06417112,45.97156398,22.20425139,42.05933682,79.68397291,26.61654135,34.78541702
21,570,570,2017,-0.788126282,3,"Region of the Americas","UM",10.23466981,8.037897311,1.193181818,0,13.88415673,13.44463972,13.12664908,33.02139037,13.98104265,10.14325323,0,0,50.18796992,8.079877112
