"id","ISO3","Country","Year","Value"
1,137,137,1,-1.194635997
1,137,137,2,-0.315425828
1,137,137,3,0.939082121
1,137,137,4,1.406527321
1,137,137,5,2.8252865
1,137,137,6,4.208427349
1,137,137,7,4.589179018
2,227,227,1,-1.532922803
2,227,227,2,-2.819004401
2,227,227,3,-3.954220349
2,227,227,4,-5.239282607
2,227,227,5,-5.509118905
2,227,227,6,-5.130984503
2,227,227,7,-4.679959852
3,198,198,1,3.376688605
3,198,198,2,5.810893316
3,198,198,3,5.393939578
3,198,198,4,6.85837644
3,198,198,5,7.159613541
3,198,198,6,8.761774103
3,198,198,7,9.934485615
4,466,466,1,-0.190517122
4,466,466,2,1.965885079
4,466,466,3,4.66826918
4,466,466,4,6.066823381
4,466,466,5,6.745266982
4,466,466,6,7.568780933
4,466,466,7,7.839585614
5,355,355,1,1.77594758
5,355,355,2,3.452183327
5,355,355,3,4.321609545
5,355,355,4,5.122151662
5,355,355,5,6.22823457
5,355,355,6,6.571005028
5,355,355,7,6.427558615
6,34,34,1,0.810390132
6,34,34,2,1.412227617
6,34,34,3,2.111610053
6,34,34,4,3.813466258
6,34,34,5,4.572333053
6,34,34,6,5.152394739
6,34,34,7,6.166278514
7,300,300,1,4.037501389
7,300,300,2,1.968253199
7,300,300,3,2.029469488
7,300,300,4,8.696447067
7,300,300,5,10.55596812
7,300,300,6,11.73778553
7,300,300,7,12.99393072
8,216,216,1,-2.48857918
