"Country","Country_class","Year","AMR","traj_class","WHO_Region","Income","Strategic_vision","Multi_sector_engagement","Sustainability","Accountability","AMC_surveillance_system","AMR_surveillance_system","Optimization_antimicrobial","Professional_education","Public_awareness","Hygiene_prevention","Research_innovation","Reporting","Policy_adjustment","Effectiveness"
499,32,2019,12.30758228,2,"Region of the Americas","H",89.76533019,59.81051345,99.48863636,100,56.77172061,17.48681898,48.87862797,33.02139037,13.98104265,49.83826248,100,59.36794582,13.4962406,24.06005671
499,32,2020,13.05455597,2,"Region of the Americas","H",100,83.92420538,100,100,49.82964225,24.18717047,48.87862797,33.02139037,20.97156398,44.38539741,42.05933682,59.36794582,0,37.41492154
499,32,2021,13.29222047,2,"Region of the Americas","H",72.37146226,91.96210269,62.64204545,100,34.36967632,43.01405975,48.87862797,50,61.492891,51.38632163,42.05933682,59.36794582,40.11278195,47.09961124
74,33,2017,12.51647266,2,"Western Pacific Region","UM",65.50707547,100,84.73011364,100,100,47.07820738,38.12664908,91.97860963,86.01895735,28.0961183,100,59.36794582,40.11278195,65.6998663
74,33,2018,15.07769005,2,"Western Pacific Region","UM",65.50707547,100,84.73011364,100,100,49.75834798,45.25065963,100,100,43.54768946,100,59.36794582,40.11278195,66.67763175
74,33,2019,19.43537865,2,"Western Pacific Region","UM",65.50707547,100,84.73011364,100,100,48.37434095,64.24802111,49.06417112,63.98104265,44.32171904,100,59.36794582,40.11278195,56.61000455
74,33,2020,24.16242802,2,"Western Pacific Region","UM",65.50707547,100,84.73011364,100,100,41.67398946,73.87862797,58.02139037,45.97156398,40.79815157,100,59.36794582,40.11278195,55.09502759
74,33,2021,26.34422865,2,"Western Pacific Region","UM",55.27240566,100,46.86079545,100,100,33.5456942,55.8707124,49.06417112,63.98104265,45.86977819,100,59.36794582,40.11278195,56.61000455
387,39,2017,8.212366909,2,"Region of the Americas","UM",10.23466981,8.037897311,31.84659091,0,34.36967632,32.271529,57.12401055,16.04278075,47.98578199,32.72874307,0,29.68397291,50.18796992,29.70620887
387,39,2018,13.0879683,2,"Region of the Americas","UM",79.22051887,58.03789731,31.73295455,100,34.36967632,37.65377856,41.62269129,0,6.990521327,27.275878,100,59.36794582,50.18796992,14.99663054
387,39,2019,13.53246804,2,"Region of the Americas","UM",79.22051887,50,31.98863636,100,56.77172061,32.271529,42.87598945,66.97860963,15.99526066,32.17393715,100,59.36794582,76.80451128,25.27312824
387,39,2020,13.4295272,2,"Region of the Americas","UM",100,82.15158924,100,100,58.68824532,59.44639719,40.50131926,66.97860963,20.97156398,15.04131238,100,59.36794582,76.80451128,33.7250384
387,39,2021,12.4284287,2,"Region of the Americas","UM",89.76533019,50,62.64204545,100,34.36967632,33.56766257,41.75461741,8.021390374,31.99052133,15.04131238,100,100,53.60902256,16.08294931
473,45,2017,5.393261865,2,"European Region","H",27.33372642,66.07579462,31.73295455,0,79.17376491,44.39806678,46.50395778,50,13.98104265,45.01487985,100,79.68397291,53.60902256,30.19049042
473,45,2018,4.886396119,2,"European Region","H",27.33372642,41.96210269,31.73295455,0,86.11584327,44.39806678,46.50395778,50,13.98104265,40.71728281,100,79.68397291,53.60902256,30.19049042
